LocusID f nAlleles x y
Locus10 1 9 30.8978 46.2838
Locus10 1 9 34.6554 29.9907
Locus10 1 9 100.886 105.103
Locus10 1 9 17.2116 59.6255
Locus11 1 9 100.15 76.1614
Locus11 1 9 3.49225 105.047
Locus11 1 9 98.2336 86.0932
Locus11 1 9 113.529 75.4004
Locus11 1 9 90.3807 90.2274
Locus11 1 9 99.3872 80.7897
Locus11 1 9 44.3352 89.0935
Locus11 1 9 116.604 80.0862
Locus11 1 9 79.8257 100.163
Locus12 1 9 -22.4241 104.24
Locus12 1 9 -51.5783 97.8189
Locus12 1 9 -57.2282 103.935
Locus12 1 9 -49.4141 113.01
Locus12 1 9 -111.368 137.052
Locus12 1 9 -106.183 105.442
Locus12 1 9 -41.8744 110.722
Locus12 1 9 -60.4249 127.699
Locus12 1 9 -32.7248 101.497
Locus13 1 9 82.4862 69.1306
Locus13 1 9 56.0326 89.4924
Locus13 1 9 97.9018 98.6904
Locus13 1 9 85.8968 76.7602
Locus13 1 9 72.7796 66.3768
Locus13 1 9 62.2191 102.32
Locus13 1 9 59.8198 102.579
Locus13 1 9 72.4748 98.7143
Locus13 1 9 91.9671 76.1976
Locus14 1 9 199.733 104.365
Locus14 1 9 130.798 155.131
Locus14 1 9 135.716 164.545
Locus14 1 9 201.033 142.348
Locus14 1 9 195.979 168.314
Locus14 1 9 204.984 142.996
Locus14 1 9 182.92 149.62
Locus14 1 9 149.315 161.965
Locus14 1 9 213.395 140.319
Locus15 1 9 238.559 108.007
Locus15 1 9 164.813 93.8685
Locus15 1 9 189.349 125.496
Locus15 1 9 236.148 103.313
Locus15 1 9 173.345 123.743
Locus15 1 9 156.503 85.5762
Locus15 1 9 160.557 138.795
Locus15 1 9 198.288 93.5135
Locus15 1 9 166.332 95.6776
Locus16 1 9 27.2878 183.302
Locus16 1 9 -43.0443 133.964
Locus16 1 9 40.7168 178.265
Locus16 1 9 29.0881 174.805
Locus16 1 9 39.1962 181.065
Locus16 1 9 121.872 141.972
Locus16 1 9 16.2814 183.874
Locus16 1 9 100.401 137.367
Locus16 1 9 16.0751 180.441
Locus17 1 9 -13.9784 33.7599
Locus17 1 9 26.5246 83.306
Locus17 1 9 -25.245 94.6418
Locus17 1 9 -31.2327 46.701
Locus17 1 9 -26.0817 103.273
Locus17 1 9 -25.064 34.3623
Locus17 1 9 -47.1495 122.878
Locus17 1 9 -26.3852 37.9023
Locus17 1 9 -22.3844 92.4191
Locus18 1 9 188.95 73.9787
Locus18 1 9 143.357 51.9863
Locus18 1 9 174.394 101.037
Locus18 1 9 171.016 82.0721
Locus18 1 9 135.416 56.9074
Locus18 1 9 174.914 116.103
Locus18 1 9 106.738 83.4536
Locus18 1 9 97.2119 69.1972
Locus18 1 9 89.7611 50.8646
Locus19 1 9 111.022 177.347
Locus19 1 9 64.8581 94.1332
Locus19 1 9 66.9451 70.2362
Locus19 1 9 38.8468 55.31
Locus19 1 9 86.5772 196.036
Locus19 1 9 179.149 39.5932
Locus19 1 9 62.9465 144.873
Locus19 1 9 41.8822 99.9251
Locus19 1 9 99.3401 176.306
